# time (s)    L (erg/s)   R_phot (cm)
4.191890496908905334E+03  6.30951422525474E+34  1.00786024317560E+06
4.194783089200305767E+03  6.47641704563986E+34  1.00799683010089E+06
4.196460146027526207E+03  6.38802282840663E+34  1.00799725115904E+06
4.199797489113695519E+03  6.24583032383801E+34  1.00799558612545E+06
4.206308555821061418E+03  6.14031906041856E+34  1.00798865096231E+06
4.211975681623782293E+03  6.12622192463667E+34  1.00798184992336E+06
4.217909465866315259E+03  6.14592176112230E+34  1.00797467833905E+06
4.224280382668261154E+03  6.18171199511550E+34  1.00796724217253E+06
4.231259042159461387E+03  6.22411497639967E+34  1.00795952714609E+06
4.239164051044092957E+03  6.26929932646578E+34  1.00795133834283E+06
4.248494709041035094E+03  6.31556814550805E+34  1.00794237166942E+06
4.260059802425088492E+03  6.36276731592198E+34  1.00793216782284E+06
4.277119495102360816E+03  6.41327534659263E+34  1.00791868142036E+06
4.295630797447865916E+03  6.45808663868595E+34  1.00790572826691E+06
4.316231626125001640E+03  6.49485742908470E+34  1.00789291978308E+06
4.339124256550259815E+03  6.52588300971888E+34  1.00788023987339E+06
4.364581294446978973E+03  6.55264715023845E+34  1.00786764663596E+06
4.367413622141957603E+03  6.71467202241638E+34  1.00800357842693E+06
4.368990783551769709E+03  6.63200768551953E+34  1.00800393305389E+06
4.372129334757295510E+03  6.49554612849957E+34  1.00800233015939E+06
4.378184913517149653E+03  6.38996981173854E+34  1.00799581124670E+06
4.383531223515602505E+03  6.37233957195967E+34  1.00798927683862E+06
4.389251744041614984E+03  6.38898371312114E+34  1.00798220923035E+06
4.395275676466671939E+03  6.42198191868454E+34  1.00797499924250E+06
4.401939049574383716E+03  6.46243994941481E+34  1.00796742517616E+06
4.409473584859189032E+03  6.50621932033811E+34  1.00795938619814E+06
4.418302344836203702E+03  6.55139023385500E+34  1.00795063007018E+06
4.429045058585074912E+03  6.59757603546174E+34  1.00794081547621E+06
4.445562210988787228E+03  6.64904036813872E+34  1.00792726805268E+06
4.463582963050063881E+03  6.69555889735893E+34  1.00791419248708E+06
4.483621834903177842E+03  6.73391352387879E+34  1.00790128502748E+06
4.505889013473513842E+03  6.76630905618708E+34  1.00788851596389E+06
4.530644202267358196E+03  6.79423921235791E+34  1.00787584327599E+06
4.558177782394164751E+03  6.81876817396089E+34  1.00786323341605E+06
4.561242552696357961E+03  6.97217695735225E+34  1.00800549767376E+06
4.562862795464766350E+03  6.86922957658121E+34  1.00800635696342E+06
4.566087078573898907E+03  6.70559008319108E+34  1.00800533001385E+06
4.572364266324233540E+03  6.58026989362812E+34  1.00799915114468E+06
4.577979734485839799E+03  6.55925538296597E+34  1.00799258928177E+06
4.583857769577858562E+03  6.57900870988905E+34  1.00798553381765E+06
4.590509545373979563E+03  6.61985463849769E+34  1.00797776941310E+06
4.598052579840568796E+03  6.67086638956739E+34  1.00796942594847E+06
4.607185457796815172E+03  6.72788712979800E+34  1.00796001629864E+06
4.619491232722126369E+03  6.79092021232861E+34  1.00794844397901E+06
4.635678059828055666E+03  6.85492825901020E+34  1.00793485551572E+06
